word,len
k aː0 ʈ uː0 n,5
k aː0 ʈ a0,4
k aː0 ʈ a0 k,5
k aː0 ʈ a0 r,5
k aː0 ʈ a0 t̪,5
k aː0 g eː0,4
k aː0 ʃ a0 l,5
k aː0 ʃ a0,4
k aː0 ʃ m iː0 r,6
k aː0 dʒ a0,4
k aː0 dʒ a0 l,5
k aː0 ɖ b oː0 ɖ,6
k aː0 ɖ p a0 t̪,6
k aː0 ɖ i0,4
k aː0 ɖ i0 f,5
k ʃ eː0 t̪ r a0,6
k ʃ eː0 t̪ r i0 s,7
k ʃ eː0 t̪ r i0,6
k ʃ u0 d̪ r a0,6
k ʃ u0 d̪ r aː0,6
k ʃ a0 j a0,5
k ʃ a0 j a0 t̪,6
k ʃ a0 j a0 s,6
k ʃ a0 j a0 k,6
k ʃ a0 j a0 n,6
k ʃ a0 j a0 n s,7
k ʃ a0 j a0 r,6
k ʃ a0 j a0 m s,7
k ʃ aː0 r u0,5
k ʃ aː0 r u0 k,6
k ʃ aː0 r a0,5
k ʃ aː0 r a0 k,6
k ʃ iː0 r ʃ a0,6
k ʃ iː0 r ʃ j aː0,7
k ʃ iː0 r a0,5
k ʃ i0 r aː0,5
k ʃ i0 r aː0 t̪,6
k ʃ i0 r a0,5
k ʃ i0 r a0 s,6
k ʃ i0 r a0 p,6
k æ0 n iː0 m,5
k æ0 n iː0,4
k æ0 n ʋ iː0 m,6
k æ0 n ʋ iː0,5
k æ0 n ʋ i0 m,6
k æ0 n ʋ a0 s,6
k æ0 n ʋ uː0,5
k æ0 n ʋ u0,5
k æ0 n ʋ eː0,5
k æ0 n i0 k,5
k æ0 n i0,4
k æ0 n i0 n,5
k æ0 n i0 m,5
k æ0 n i0 ʃ,5
k æ0 p iː0,4
k æ0 p iː0 m,5
k æ0 p a0,4
k æ0 p a0 l,5
